DefaultSC.X            DefaultSC.Y            DefaultSC.Z            DefaultSC.VX           DefaultSC.VY           DefaultSC.VZ           
25159.85191339815      -33841.35192614739     -0.8212333381459248    2.467961637424525      1.832972852910769      0.001153711555203639   
25307.68840542362      -33731.05010773549     -0.7520065940569437    2.459913580143097      1.843748552704069      0.001153842955263497   
25455.04060256941      -33620.10280685099     -0.6827726186195702    2.451818500595908      1.854488901115464      0.001153952600073813   
25601.90568815744      -33508.51215072868     -0.6135327171583882    2.443676554194164      1.865193693197498      0.001154040489382735   
25748.28085486106      -33396.28027887961     -0.5442881950007578    2.435487897240215      1.875862724687089      0.001154106623349572   
25894.16330475844      -33283.40934305004     -0.4750403574521461    2.427252686924531      1.886495792009383      0.001154151002544782   
26039.55024938569      -33169.90150717996     -0.405790509771459     2.418971081322656      1.897092692281598      0.001154173627949944   
26184.43890979         -33055.75894736146     -0.3365399571463743    2.410643239392156      1.907653223316854      0.001154174500957733   
26328.82651658233      -32940.98385179689     -0.2672900046686779    2.402269320969545      1.918177183627991      0.001154153623371874   
26472.71030999017      -32825.57842075673     -0.1980419573096015    2.393849486767194      1.928664372431366      0.001154110997407103   
26616.08753990992      -32709.54486653727     -0.128797119895164     2.385383898370227      1.939114589650646      0.001154046625689106   
26758.95546595922      -32592.88541341811     -0.05955679708151575   2.376872718233396      1.949527635920582      0.00115396051125446    
26901.31135752898      -32475.60229761928     0.009677706669712309   2.368316109677942      1.959903312590766      0.001153852657550563   
27043.15249383533      -32357.69776725833     0.07890508711605587    2.359714236888447      1.970241421729384      0.001153723068435557   
27184.47616397125      -32239.17408230706     0.1481240402588592     2.351067264909655      1.980541766126947      0.001153571748178239   
27325.27966695816      -32120.03351454807     0.217333262367912      2.342375359643291      1.990804149300005      0.001153398701457974   
27465.56031179723      -32000.27834753111     0.2865314500060801     2.333638687844857      2.00102837549486       0.001153203933364587   
27605.31541752046      -31879.91087652915     0.3557173000539301     2.324857417120414      2.011214249691248      0.00115298744939826    
27744.54231324166      -31758.93340849429     0.4248895097343474     2.316031715923346      2.021361577606025      0.001152749255469413   
27883.23833820719      -31637.3482620134      0.4940467766371466     2.307161753551114      2.031470165696817      0.001152489357898581   
28021.4008418465       -31515.15776726361     0.5631877987436743     2.298247700141988      2.041539821165679      0.00115220776341628    
28159.02718382246      -31392.36426596746     0.6323112744514049     2.289289726671767      2.051570351962722      0.001151904479162872   
28296.11473408154      -31268.97011134798     0.701415902598525      2.280288004950482      2.061561566789731      0.00115157951268841    
28432.66087290377      -31144.97766808346     0.7705003824885123     2.271242707619082      2.07151327510377       0.001151232871952493   
28568.66299095246      -31020.38931226198     0.8395634139147019     2.262154008146112      2.081425287120775      0.001150864565324094   
28704.11848932378      -30895.20743133585     0.9086036971848448     2.253022080824366      2.091297413819123      0.001150474601581395   
28839.02477959614      -30769.43442407569     0.9776199331456549     2.243847100767529      2.101129466943197      0.001150062989911607   
28973.37928387927      -30643.0727005244      1.046610823207344      2.234629243906806      2.110921259006925      0.001149629739910784   
29107.17943486324      -30516.12468195085     1.11557506936815       2.225368686987533      2.120672603297315      0.00114917486158363    
29240.42267586718      -30388.59280080343     1.184511374238844      2.216065607565772      2.130383313877968      0.001148698365343298   
29373.10646088781      -30260.47950066333     1.253418441067238      2.206720184004895      2.140053205592579      0.00114820026201118    
29505.2282546478       -30131.78723619762     1.322294973762667      2.197332595472151      2.14968209406842       0.001147680562816691   
29636.78553264386      -30002.51847311213     1.391139676920466      2.187903021935213      2.159269795719812      0.001147139279397043   
29767.7757811947       -29872.67568810416     1.459951255846433      2.178431644158722      2.168816127751577      0.001146576423797017   
29898.19649748875      -29742.26136881489     1.528728416581271      2.168918643700804      2.178320908162481      0.001145992008468718   
30028.0451896316       -29611.27801378169     1.597469865925026      2.159364202909582      2.187783955748655      0.001145386046271331   
30157.3193766934       -29479.72813239014     1.666174311461498      2.149768504919663      2.197205090107004      0.001144758550470866   
30286.01658875582      -29347.61424482592     1.734840461582649      2.140131733648625      2.206584131638599      0.001144109534739893   
30414.13436695903      -29214.93888202642     1.803467025512981      2.130454073793472      2.215920901552056      0.001143439013157272   
30541.6702635483       -29081.70458563219     1.872052713333915      2.120735710827091      2.2252152218669        0.001142747000207879   
30668.62184192045      -28947.91390793823     1.940596236008133      2.110976830994684      2.234466915416905      0.001142033510782314   
30794.98667667011      -28813.56941184498     2.00909630540392       2.101177621310189      2.24367580585343       0.001141298560176613   
30920.76235363571      -28678.6736708092      2.077551634319477      2.091338269552686      2.252841717648734      0.001140542164091943   
31045.94646994528      -28543.22926879458     2.145960936507223      2.081458964262796      2.26196447609927       0.001139764338634295   
31170.53663406207      -28407.23880022225     2.214322926698073      2.071539894739052      2.271043907328971      0.001138965100314169   
31294.53046582985      -28270.70486992098     2.282636320625698      2.061581251034268      2.28007983829252       0.001138144466046248   
31417.92559651813      -28133.63009307726     2.350899835050769      2.051583223951892      2.289072096778596      0.001137302453149068   
31540.71966886705      -27996.01709518515     2.419112187785174      2.041546005042334      2.298020511413112      0.001136439079344678   
31662.91033713206      -27857.86851199596     2.487272097716222      2.031469786599301      2.306924911662434      0.001135554362758295   
31784.49526712846      -27719.18698946773     2.555378284830821      2.0213547616561        2.315785127836582      0.001134648321917947   
31905.47213627568      -27579.97518371451     2.623429470239638      2.011201123981935      2.324600991092416      0.001133720975754111   
32025.83863364122      -27440.23576095544     2.691424376201228      2.00100906807819       2.333372333436811      0.001132772343599348   
32145.59245998458      -27299.97139746369     2.759361726146159      1.990778789174699      2.342098987729806      0.001131802445187922   
